Percentage,a-index,ForwardBR,PageRank,ICOOK,h-index,k-core,PageRankIVOL,ElementRank,Pride,MinClass,iFit,CDAG
0.01,0,0.037037037,0.037037037,0,0,0,0.037037037,0.037037037,0.037037037,0.037037037,0.037037037,0.037037037
0.02,0,0.037037037,0.037037037,0,0,0,0.037037037,0.037037037,0.037037037,0.037037037,0.037037037,0.037037037
0.03,0,0.074074074,0.074074074,0.037037037,0.074074074,0,0.074074074,0.074074074,0.074074074,0.074074074,0.074074074,0.074074074
0.04,0,0.111111111,0.111111111,0.037037037,0.074074074,0,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111
0.05,0,0.111111111,0.111111111,0.037037037,0.074074074,0,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111
0.06,0,0.148148148,0.148148148,0.148148148,0.074074074,0,0.148148148,0.148148148,0.148148148,0.148148148,0.148148148,0.148148148
0.07,0,0.185185185,0.185185185,0.148148148,0.074074074,0,0.185185185,0.185185185,0.185185185,0.185185185,0.185185185,0.185185185
0.08,0,0.222222222,0.222222222,0.148148148,0.074074074,0.259259259,0.222222222,0.222222222,0.222222222,0.222222222,0.185185185,0.222222222
0.09,0,0.222222222,0.222222222,0.148148148,0.074074074,0.259259259,0.222222222,0.222222222,0.222222222,0.222222222,0.185185185,0.222222222
0.1,0.185185185,0.259259259,0.259259259,0.222222222,0.222222222,0.259259259,0.259259259,0.259259259,0.259259259,0.259259259,0.222222222,0.259259259
0.11,0.185185185,0.296296296,0.296296296,0.222222222,0.222222222,0.259259259,0.296296296,0.296296296,0.296296296,0.296296296,0.259259259,0.296296296
0.12,0.185185185,0.296296296,0.296296296,0.222222222,0.222222222,0.259259259,0.296296296,0.296296296,0.296296296,0.296296296,0.259259259,0.296296296
0.13,0.185185185,0.296296296,0.296296296,0.296296296,0.222222222,0.259259259,0.296296296,0.333333333,0.333333333,0.333333333,0.296296296,0.333333333
0.14,0.185185185,0.333333333,0.333333333,0.296296296,0.222222222,0.259259259,0.296296296,0.333333333,0.333333333,0.37037037,0.333333333,0.333333333
0.15,0.185185185,0.333333333,0.333333333,0.296296296,0.222222222,0.259259259,0.296296296,0.333333333,0.333333333,0.37037037,0.333333333,0.333333333
