topNum,a-index,ForwardBR,PageRank,ICOOK,h-index,k-core,PageRankIVOL,ElementRank,Pride,MinClass,iFit,CDAG
1,0,0.142857143,0.142857143,0,0.142857143,0,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143
2,0,0.285714286,0.285714286,0.285714286,0.285714286,0,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286
3,0,0.285714286,0.285714286,0.285714286,0.428571429,0,0.428571429,0.285714286,0.285714286,0.428571429,0.285714286,0.285714286
4,0,0.428571429,0.428571429,0.571428571,0.428571429,0,0.428571429,0.285714286,0.428571429,0.571428571,0.428571429,0.428571429
5,0,0.428571429,0.428571429,0.571428571,0.571428571,0,0.428571429,0.428571429,0.428571429,0.571428571,0.428571429,0.428571429
6,0,0.571428571,0.571428571,0.571428571,0.571428571,0,0.428571429,0.571428571,0.571428571,0.571428571,0.571428571,0.428571429
7,0,0.571428571,0.571428571,0.571428571,0.571428571,0,0.571428571,0.571428571,0.714285714,0.571428571,0.571428571,0.571428571
8,0,0.571428571,0.571428571,0.571428571,0.571428571,0,0.571428571,0.571428571,0.714285714,0.571428571,0.571428571,0.571428571
9,0,0.571428571,0.571428571,0.571428571,0.571428571,0.571428571,0.714285714,0.571428571,0.714285714,0.571428571,0.571428571,0.571428571
10,0,0.571428571,0.571428571,0.714285714,0.571428571,0.571428571,0.714285714,0.571428571,0.714285714,0.571428571,0.571428571,0.571428571
11,0,0.571428571,0.571428571,0.714285714,0.571428571,0.571428571,0.714285714,0.714285714,0.714285714,0.571428571,0.714285714,0.571428571
12,0,0.571428571,0.571428571,0.714285714,0.571428571,0.571428571,0.714285714,0.714285714,0.714285714,0.571428571,0.857142857,0.571428571
13,0,0.714285714,0.714285714,0.714285714,0.571428571,0.571428571,0.714285714,0.714285714,0.714285714,0.571428571,0.857142857,0.571428571
14,0,0.714285714,0.714285714,0.714285714,0.571428571,0.571428571,0.714285714,0.714285714,0.857142857,0.571428571,0.857142857,0.571428571
15,0,0.714285714,0.714285714,0.714285714,0.571428571,0.571428571,0.714285714,0.714285714,0.857142857,0.571428571,0.857142857,0.571428571
16,0,0.714285714,0.714285714,0.714285714,0.857142857,0.571428571,0.714285714,0.714285714,0.857142857,0.571428571,0.857142857,0.571428571
17,0,0.714285714,0.714285714,0.714285714,0.857142857,0.571428571,0.714285714,0.714285714,0.857142857,0.571428571,0.857142857,0.714285714
18,0,0.714285714,0.714285714,0.714285714,0.857142857,0.571428571,0.714285714,0.714285714,0.857142857,0.714285714,0.857142857,0.714285714
19,0,0.714285714,0.714285714,0.714285714,0.857142857,0.571428571,0.714285714,0.714285714,0.857142857,0.714285714,0.857142857,0.714285714
20,0,0.714285714,0.714285714,0.714285714,0.857142857,0.571428571,0.714285714,0.714285714,0.857142857,0.714285714,0.857142857,0.714285714
21,0,0.714285714,0.714285714,0.714285714,0.857142857,0.571428571,0.714285714,0.714285714,0.857142857,0.714285714,0.857142857,0.714285714
22,0,0.714285714,0.714285714,0.714285714,0.857142857,0.571428571,0.857142857,0.714285714,0.857142857,0.714285714,0.857142857,0.714285714
23,0,0.714285714,0.714285714,0.714285714,0.857142857,0.571428571,0.857142857,0.714285714,0.857142857,0.714285714,0.857142857,0.714285714
24,0,0.714285714,0.714285714,0.714285714,0.857142857,0.571428571,0.857142857,0.714285714,0.857142857,0.714285714,0.857142857,0.857142857
25,0,0.714285714,0.714285714,0.714285714,0.857142857,0.571428571,0.857142857,0.714285714,0.857142857,0.714285714,0.857142857,0.857142857
